LEVCODE,LEVEL,GEOID,AIAN,ANRC,ST,CNTY,MCD,LANCOUNT,NAMELSAD,LANGUAGE,POP,MPOP,VAPOP,MVAPOP,VACIT,MVACIT,VACLEP,MVACLEP,ILLIT,MILLIT,LEPPCT,MLEPPCT,ILLRAT,MILLRAT,FLAG10,FLAG5,FLAG_EDU,FLAG_ST,FLAG_JUR,FLAG_AI,FLAG_COV,total_population_vacit,lep_percentage,illiteracy_rate,coverage
3,County,2013,0,0,2,13,NNNNN,2,"Aleutians East Borough, Alaska",Hispanic,440.0,105.0,395.0,105.0,160.0,50.0,95.0,25.0,4.0,10.0,5.5556,1.3563,4.2105,15.339,0,1,1, ,1,0,1,1710.0,0.05555555555555555,0.042105263157894736,True
3,County,2013,0,0,2,13,NNNNN,9,"Aleutians East Borough, Alaska",American Indian (Cherokee),60.0,90.0,60.0,90.0,60.0,90.0,0.0,4.0,0.0,0.0,0.0,0.0763,0.0,54.7571,0,0,0, ,0,0,0,1710.0,0.0,,False
3,County,2013,0,0,2,13,NNNNN,48,"Aleutians East Borough, Alaska",Aleut,880.0,210.0,620.0,155.0,620.0,155.0,4.0,4.0,0.0,4.0,0.2339,0.3529,0.0,33.6363,0,0,0, ,0,0,0,1710.0,0.0023391812865497076,0.0,False
3,County,2013,0,0,2,13,NNNNN,53,"Aleutians East Borough, Alaska",Alaska Native Tribe - Tribe not Specified,15.0,10.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0479,0.0,53.4638,0,0,0, ,0,0,0,1710.0,0.0,,False
3,County,2013,0,0,2,13,NNNNN,60,"Aleutians East Borough, Alaska",Filipino,1030.0,240.0,1010.0,240.0,385.0,125.0,210.0,70.0,4.0,10.0,12.2807,4.1243,1.9048,4.0135,0,1,1, ,1,0,1,1710.0,0.12280701754385964,0.01904761904761905,True
3,County,2013,0,0,2,13,NNNNN,63,"Aleutians East Borough, Alaska",Japanese,15.0,20.0,15.0,20.0,10.0,15.0,4.0,4.0,0.0,0.0,0.2339,0.0641,0.0,23.8713,0,0,0, ,0,0,0,1710.0,0.0023391812865497076,0.0,False
3,County,2013,0,0,2,13,NNNNN,70,"Aleutians East Borough, Alaska",Vietnamese,35.0,40.0,30.0,40.0,20.0,30.0,15.0,15.0,4.0,4.0,0.8772,1.0144,26.6667,21.679,0,0,1, ,0,0,0,1710.0,0.008771929824561403,0.26666666666666666,False
3,County,2016,0,0,2,16,NNNNN,2,"Aleutians West Census Area, Alaska",Hispanic,595.0,115.0,490.0,105.0,390.0,90.0,60.0,25.0,10.0,10.0,1.6173,0.677,16.6667,13.7104,0,0,1, ,0,0,0,3710.0,0.016172506738544475,0.16666666666666666,False
3,County,2016,0,0,2,16,NNNNN,9,"Aleutians West Census Area, Alaska",American Indian (Cherokee),30.0,50.0,30.0,50.0,30.0,50.0,0.0,4.0,0.0,0.0,0.0,0.0288,0.0,36.6161,0,0,0, ,0,0,0,3710.0,0.0,,False
3,County,2016,0,0,2,16,NNNNN,45,"Aleutians West Census Area, Alaska",American Indian (All other American Indian Tribes),4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.1078,0.0064,0.0,63.9908,0,0,0, ,0,0,0,3710.0,0.001078167115902965,0.0,False
