PersonID,NAMELSAD,LANCOUNT,VACLEP,ILLIT
Person_0,"Aleutians East Borough, Alaska","[2, 60, 70]",1,1
Person_1,"Aleutians East Borough, Alaska","[60, 2, 70]",1,1
Person_2,"Aleutians East Borough, Alaska","[60, 2, 70]",1,1
Person_3,"Aleutians East Borough, Alaska","[70, 2, 60]",1,1
Person_4,"Aleutians East Borough, Alaska","[48, 63, 60]",1,0
Person_5,"Aleutians East Borough, Alaska","[70, 2, 60]",1,0
Person_6,"Aleutians East Borough, Alaska","[70, 60, 48]",1,0
Person_7,"Aleutians East Borough, Alaska","[60, 70, 2]",1,0
Person_8,"Aleutians East Borough, Alaska","[48, 60, 2]",1,0
Person_9,"Aleutians East Borough, Alaska","[60, 70, 63]",1,0
Person_10,"Aleutians East Borough, Alaska","[70, 60, 2]",1,0
Person_11,"Aleutians East Borough, Alaska","[63, 70, 48]",1,0
Person_12,"Aleutians East Borough, Alaska","[70, 2, 60]",1,0
Person_13,"Aleutians East Borough, Alaska","[2, 60, 70]",1,0
Person_14,"Aleutians East Borough, Alaska","[63, 2, 70]",1,0
Person_15,"Aleutians East Borough, Alaska","[70, 2, 60]",1,0
Person_16,"Aleutians East Borough, Alaska","[60, 2]",1,0
Person_17,"Aleutians East Borough, Alaska","[60, 2]",1,0
Person_18,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_19,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_20,"Aleutians East Borough, Alaska","[60, 2]",1,0
Person_21,"Aleutians East Borough, Alaska","[70, 2]",1,0
Person_22,"Aleutians East Borough, Alaska","[60, 2]",1,0
Person_23,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_24,"Aleutians East Borough, Alaska","[60, 2]",1,0
Person_25,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_26,"Aleutians East Borough, Alaska","[60, 2]",1,0
Person_27,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_28,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_29,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_30,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_31,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_32,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_33,"Aleutians East Borough, Alaska","[60, 2]",1,0
Person_34,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_35,"Aleutians East Borough, Alaska","[60, 2]",1,0
Person_36,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_37,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_38,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_39,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_40,"Aleutians East Borough, Alaska","[60, 2]",1,0
Person_41,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_42,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_43,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_44,"Aleutians East Borough, Alaska","[60, 2]",1,0
Person_45,"Aleutians East Borough, Alaska","[60, 2]",1,0
Person_46,"Aleutians East Borough, Alaska","[60, 2]",1,0
Person_47,"Aleutians East Borough, Alaska","[60, 2]",1,0
Person_48,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_49,"Aleutians East Borough, Alaska","[60, 2]",1,0
Person_50,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_51,"Aleutians East Borough, Alaska","[60, 2]",1,0
Person_52,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_53,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_54,"Aleutians East Borough, Alaska","[60, 2]",1,0
Person_55,"Aleutians East Borough, Alaska","[60, 2]",1,0
Person_56,"Aleutians East Borough, Alaska","[2, 60]",1,0
Person_57,"Aleutians East Borough, Alaska","[60, 2]",1,0
