LEVCODE,LEVEL,GEOID,AIAN,ANRC,ST,CNTY,MCD,LANCOUNT,NAMELSAD,LANGUAGE,POP,MPOP,VAPOP,MVAPOP,VACIT,MVACIT,VACLEP,MVACLEP,ILLIT,MILLIT,LEPPCT,MLEPPCT,ILLRAT,MILLRAT,FLAG10,FLAG5,FLAG_EDU,FLAG_ST,FLAG_JUR,FLAG_AI,FLAG_COV
"2","State","06","0000","00000","06","000","NNNNN",1,"California","Total Population",,,,,23881290,27105,,,,,,,,," "," "," "," "," "," "," "
"2","State","06","0000","00000","06","000","NNNNN",2,"California","Hispanic",14534450,10,9780330,225,6446035,9735,1329585,7590,205520,2900,5.5675,0.0318,15.4575,0.2117," ","1","1","1"," "," ","1"
"2","State","12","0000","00000","12","000","NNNNN",1,"Florida","Total Population",,,,,13673535,14660,,,,,,,,," "," "," "," "," "," "," "
"2","State","12","0000","00000","12","000","NNNNN",2,"Florida","Hispanic",4517190,170,3367095,275,2338915,6635,724815,4965,55785,2330,5.3009,0.0363,7.6964,0.3030," ","1","1","1"," "," ","1"
"2","State","48","0000","00000","48","000","NNNNN",1,"Texas","Total Population",,,,,16529535,17460,,,,,,,,," "," "," "," "," "," "," "
"2","State","48","0000","00000","48","000","NNNNN",2,"Texas","Hispanic",9962645,25,6552585,105,4540275,8525,909535,8630,140360,2505,5.5025,0.0522,15.4321,0.2742," ","1","1","1"," "," ","1"
"3","County","02013","0000","00000","02","013","NNNNN",1,"Aleutians East Borough, Alaska","Total Population",,,,,1710,195,,,,,,,,," "," "," "," "," "," "," "
"3","County","02013","0000","00000","02","013","NNNNN",2,"Aleutians East Borough, Alaska","Hispanic",440,105,395,105,160,50,95,25,4,10,5.5556,1.3563,4.2105,15.3390,"0","1","1"," ","1","0","1"
"3","County","02013","0000","00000","02","013","NNNNN",52,"Aleutians East Borough, Alaska","Yup'ik",,,,,,,,,,,,,,,"0","0","0"," ","0","1","1"
"3","County","02013","0000","00000","02","013","NNNNN",60,"Aleutians East Borough, Alaska","Filipino",1030,240,1010,240,385,125,210,70,4,10,12.2807,4.1243,1.9048,4.0135,"0","1","1"," ","1","0","1"
