LEVCODE,LEVEL,ST,CNTY,MCD,NAMELSAD,AIAN,ANRC,NAME2,LANCOUNT,LANGUAGE
"6","AIAN/Juris","02","016","NNNNN","Aleutians West Census Area, Alaska","6150","00000","Atka ANVSA, AK",48,"Aleut"
"6","AIAN/Juris","02","050","NNNNN","Bethel Census Area, Alaska","6020","00000","Akiachak ANVSA, AK",52,"Yup'ik"
"6","AIAN/Juris","02","050","NNNNN","Bethel Census Area, Alaska","6160","00000","Atmautluak ANVSA, AK",52,"Yup'ik"
"6","AIAN/Juris","02","050","NNNNN","Bethel Census Area, Alaska","6275","00000","Chefornak ANVSA, AK",52,"Yup'ik"
"6","AIAN/Juris","02","050","NNNNN","Bethel Census Area, Alaska","6440","00000","Eek ANVSA, AK",52,"Yup'ik"
"6","AIAN/Juris","02","050","NNNNN","Bethel Census Area, Alaska","6545","00000","Goodnews Bay ANVSA, AK",52,"Yup'ik"
"6","AIAN/Juris","02","050","NNNNN","Bethel Census Area, Alaska","6710","00000","Kasigluk ANVSA, AK",52,"Yup'ik"
"6","AIAN/Juris","02","050","NNNNN","Bethel Census Area, Alaska","6750","00000","Kipnuk ANVSA, AK",52,"Yup'ik"
"6","AIAN/Juris","02","050","NNNNN","Bethel Census Area, Alaska","6810","00000","Kongiganak ANVSA, AK",52,"Yup'ik"
"6","AIAN/Juris","02","050","NNNNN","Bethel Census Area, Alaska","6835","00000","Kwethluk ANVSA, AK",52,"Yup'ik"
"6","AIAN/Juris","02","050","NNNNN","Bethel Census Area, Alaska","6840","00000","Kwigillingok ANVSA, AK",52,"Yup'ik"
"6","AIAN/Juris","02","050","NNNNN","Bethel Census Area, Alaska","6845","00000","Kwinhagak ANVSA, AK",52,"Yup'ik"
"6","AIAN/Juris","02","050","NNNNN","Bethel Census Area, Alaska","6890","00000","Lower Kalskag ANVSA, AK",52,"Yup'ik"
"6","AIAN/Juris","02","050","NNNNN","Bethel Census Area, Alaska","6935","00000","Mekoryuk ANVSA, AK",49,"Inupiat"
"6","AIAN/Juris","02","050","NNNNN","Bethel Census Area, Alaska","7010","00000","Napakiak ANVSA, AK",52,"Yup'ik"
"6","AIAN/Juris","02","050","NNNNN","Bethel Census Area, Alaska","7020","00000","Napaskiak ANVSA, AK",52,"Yup'ik"
